id,name,lat,lng,category,is_rest,is_bar,peak_sun_pct,sun_hours_full_sun,sun_total_index,has_description,slug,url
"554","Bar Café Louis-Davids Schinkel","52.3465783","4.847339100000001","restaurant","true","false","100","3.5","1446","false","bar-cafe-louis-davids-schinkel-554","https://seatsinthesun.com/terras/amsterdam/bar-cafe-louis-davids-schinkel-554/"
"894","Het Stadspaleis","52.3711137","4.8907101","restaurant","true","false","98","7","1443","false","het-stadspaleis-894","https://seatsinthesun.com/terras/amsterdam/het-stadspaleis-894/"
"6259","De Zingende Zwaan","52.3598349","4.860209999999999","restaurant","true","false","100","5","1442","false","de-zingende-zwaan-6259","https://seatsinthesun.com/terras/amsterdam/de-zingende-zwaan-6259/"
"7986","Oost","52.359238","4.914172000000001","restaurant","true","false","100","6","1441","false","oost-7986","https://seatsinthesun.com/terras/amsterdam/oost-7986/"
"5048","Bar Hendrik","52.34641389999999","4.865237100000001","restaurant_and_bar","true","true","100","6.5","1440","false","bar-hendrik-5048","https://seatsinthesun.com/terras/amsterdam/bar-hendrik-5048/"
"58","The Breakfast Club.","52.3845965","4.8829671","restaurant","true","false","100","7","1438","false","the-breakfast-club.-58","https://seatsinthesun.com/terras/amsterdam/the-breakfast-club.-58/"
"619","De Biertuin East","52.362325","4.9242439","restaurant_and_bar","true","true","100","6.5","1437","false","de-biertuin-east-619","https://seatsinthesun.com/terras/amsterdam/de-biertuin-east-619/"
"360","Bruincafé 't Centrum","52.3661111","4.8955556","restaurant","true","false","100","7","1435","false","bruincafe-t-centrum-360","https://seatsinthesun.com/terras/amsterdam/bruincafe-t-centrum-360/"
"7392","Café Conrad","52.357568","4.8575157","restaurant_and_bar","true","true","100","6","1432","false","cafe-conrad-7392","https://seatsinthesun.com/terras/amsterdam/cafe-conrad-7392/"
"481","V R R","52.37190080000001","4.931308","restaurant","true","false","100","5.5","1432","false","v-r-r-481","https://seatsinthesun.com/terras/amsterdam/v-r-r-481/"
"410","Hendrix","52.370714","4.868592999999999","restaurant_and_bar","true","true","95","5","1430","false","hendrix-410","https://seatsinthesun.com/terras/amsterdam/hendrix-410/"
"3872","LUPE","52.3819715","4.857729200000001","restaurant","true","false","100","5.5","1430","false","lupe-3872","https://seatsinthesun.com/terras/amsterdam/lupe-3872/"
"5053","La Nostra Gigi","52.3574121","4.8912726","restaurant","true","false","88","7","1428","false","la-nostra-gigi-5053","https://seatsinthesun.com/terras/amsterdam/la-nostra-gigi-5053/"
"563","Cafe 't Molentje","52.3722675","4.888045899999999","restaurant","true","false","100","5.5","1427","false","cafe-t-molentje-563","https://seatsinthesun.com/terras/amsterdam/cafe-t-molentje-563/"
"642","Ristorante La Tarantella","52.3837135","4.873929899999999","restaurant","true","false","100","6.5","1418","false","ristorante-la-tarantella-642","https://seatsinthesun.com/terras/amsterdam/ristorante-la-tarantella-642/"
