name,slug,id,url,lat,lng,top50_rank
"Badhuis Amsterdam","badhuis-amsterdam-5932","5932","https://seatsinthesun.com/terras/amsterdam/badhuis-amsterdam-5932/","52.3635346","4.939991799999999","1"
"Café Conrad","cafe-conrad-7392","7392","https://seatsinthesun.com/terras/amsterdam/cafe-conrad-7392/","52.357568","4.8575157","2"
"Café | Brasserie Internationaal Theater Amsterdam","cafe-or-brasserie-internationaal-theater-amsterdam-626","626","https://seatsinthesun.com/terras/amsterdam/cafe-or-brasserie-internationaal-theater-amsterdam-626/","52.363968","4.882302","3"
"The Cottage Shop & Deli","the-cottage-shop-deli-7183","7183","https://seatsinthesun.com/terras/amsterdam/the-cottage-shop-deli-7183/","52.3566955","4.9271026","4"
"Café Restaurant Piet de Gruyter","cafe-restaurant-piet-de-gruyter-585","585","https://seatsinthesun.com/terras/amsterdam/cafe-restaurant-piet-de-gruyter-585/","52.384578","4.875246","5"
"Barpiazza","barpiazza-1128","1128","https://seatsinthesun.com/terras/amsterdam/barpiazza-1128/","52.35600789999999","4.880293600000001","6"
"Borrelbar","borrelbar-476","476","https://seatsinthesun.com/terras/amsterdam/borrelbar-476/","52.3446666","4.8583457","7"
"Cafe Toussaint","cafe-toussaint-654","654","https://seatsinthesun.com/terras/amsterdam/cafe-toussaint-654/","52.3657671","4.8761924","8"
"Bar Café Louis-Davids Schinkel","bar-cafe-louis-davids-schinkel-554","554","https://seatsinthesun.com/terras/amsterdam/bar-cafe-louis-davids-schinkel-554/","52.3465783","4.847339100000001","9"
"Café Brandon","cafe-brandon-1220","1220","https://seatsinthesun.com/terras/amsterdam/cafe-brandon-1220/","52.3754448","4.886458299999999","10"
"Dwaze zaken","dwaze-zaken-668","668","https://seatsinthesun.com/terras/amsterdam/dwaze-zaken-668/","52.37659170000001","4.8993917","11"
"Bar Centraal","bar-centraal-790","790","https://seatsinthesun.com/terras/amsterdam/bar-centraal-790/","52.3673265","4.866481299999998","12"
"Bar Baarsch","bar-baarsch-1351","1351","https://seatsinthesun.com/terras/amsterdam/bar-baarsch-1351/","52.37044239999999","4.8535769","13"
"de Silveren Spiegel","de-silveren-spiegel-246","246","https://seatsinthesun.com/terras/amsterdam/de-silveren-spiegel-246/","52.3776757","4.8937305","14"
"'t Nieuwe Kafé","t-nieuwe-kafe-228","228","https://seatsinthesun.com/terras/amsterdam/t-nieuwe-kafe-228/","52.3736992","4.892002","15"
"La Brochette","la-brochette-295","295","https://seatsinthesun.com/terras/amsterdam/la-brochette-295/","52.3245473","4.8674513","16"
"Café Hesp","cafe-hesp-17","17","https://seatsinthesun.com/terras/amsterdam/cafe-hesp-17/","52.3498214","4.912584900000001","17"
"Café Kuijper","cafe-kuijper-609","609","https://seatsinthesun.com/terras/amsterdam/cafe-kuijper-609/","52.359886","4.925751399999999","18"
"Casa Del Toro","casa-del-toro-384","384","https://seatsinthesun.com/terras/amsterdam/casa-del-toro-384/","52.3751407","4.8923813","19"
"Strandzuid","strandzuid-829","829","https://seatsinthesun.com/terras/amsterdam/strandzuid-829/","52.341653","4.8865262","20"
"Kapitein Zeppos","kapitein-zeppos-227","227","https://seatsinthesun.com/terras/amsterdam/kapitein-zeppos-227/","52.3696513","4.893733399999999","21"
"Bar Bouwmeester","bar-bouwmeester-850","850","https://seatsinthesun.com/terras/amsterdam/bar-bouwmeester-850/","52.3473341","4.904601700000001","22"
"Next","next-3125","3125","https://seatsinthesun.com/terras/amsterdam/next-3125/","52.4013266","4.8919321","23"
"Amsterdam Centraal railway station","amsterdam-centraal-railway-station-7201","7201","https://seatsinthesun.com/terras/amsterdam/amsterdam-centraal-railway-station-7201/","52.37905319999999","4.9003621","24"
