id,name,lat,lng,city_slug,category
"3702","Caspar","51.985914","5.9163139","arnhem","restaurant_and_bar"
"2985","Rabenhaupt | Ontzettende Held In Eten En Drinken!","53.21586299999999","6.570315000000001","groningen","restaurant"
"760","De VerbroederIJ","52.3848122","4.9298454","amsterdam","restaurant"
"5380","Teahouse 'De Leidsehout'","52.1755401","4.4811882","leiden","restaurant"
"3493","De Skeve Toren","53.20265790000001","5.7912525","leeuwarden","restaurant"
"4068","Het Broodhuys","53.200937","5.794335999999999","leeuwarden","restaurant"
"285","Café Wildschut","52.353457","4.8828527","amsterdam","restaurant_and_bar"
"6584","Prosciutto","50.8468512","5.6929314","maastricht","restaurant"
"3250","Bossche Brouwers aan de Vaart","51.69690589999999","5.299251299999999","s-hertogenbosch","restaurant_and_bar"
"4008","Orff","52.3695406","4.901715900000001","amsterdam","restaurant"
"567","Grand Café Frankendael","52.3490648","4.937593300000001","amsterdam","restaurant"
"1821","Moellies","52.5254925","5.717607300000001","dronten","restaurant"
"273","Onder de Ooievaar","52.36194239999999","4.8991443","amsterdam","bar"
"1557","Happy Tosti Den Haag","52.079691","4.316896399999999","den-haag","restaurant"
"3042","TOTT Groningen","53.218729","6.5732707","groningen","restaurant"
"7461","Restaurant Karakter","52.02734","5.5578173","veenendaal","restaurant"
"1474","'t Wapen van Norg","53.06655120000001","6.460744400000001","norg","restaurant"
"5234","Grand Cafe Tante Fie","52.05234159999999","5.1478372","houten","restaurant"
"2954","Il Lago restaurant","53.1877778","6.555277799999999","groningen","restaurant"
"2927","Taj Mahal","53.2148256","6.5772137","groningen","restaurant_and_bar"
"1381","Barlou","51.9351004","4.4793961","rotterdam","restaurant_and_bar"
"857","Café Restaurant De Zwarte Ruiter","52.0759035","4.309156000000001","den-haag","restaurant_and_bar"
"3770","Herberg 't Plein","52.69652480000001","6.1932471","meppel","restaurant"
"219","Café 't Gasthuys","52.3694444","4.8936111","amsterdam","restaurant_and_bar"
"2245","Bij Meta eten & drinken","52.64399090000001","5.052077400000001","hoorn","restaurant"
"986","Grandcafé Burgerzaken","51.8717555","4.599711999999999","ridderkerk","restaurant"
"5746","'T Losse Hoes","52.2973778","6.419799999999999","holten","other"
"1237","Thuis bij Fien","51.8080788","5.722911799999999","wijchen","restaurant"
"6565","Van Wijck | wyck","50.84956090000001","5.699346100000001","maastricht","restaurant"
"7161","Hotel Restaurant Grandcafe 't Voorhuys","52.7110658","5.753202099999999","emmeloord","restaurant"
"1796","Café Restaurant September","52.0759096","4.3093503","den-haag","restaurant"
"3186","Café de Inloop","51.9304862","4.347183399999999","vlaardingen","restaurant"
"531","Frizzanteria","52.35377009999999","4.8670175","amsterdam","restaurant"
"4332","Café Eijlders","52.36493039999999","4.882475099999999","amsterdam","restaurant"
"1663","Eet- & Wielercafé Cours!","52.995757","6.563301800000001","assen","restaurant"
"1632","Huis Ter West","51.963176","5.9682605","westervoort","restaurant"
"7174","Restaurant Three Amigos","51.6909735","5.2915667","s-hertogenbosch","restaurant"
"1879","Bistro 't Kannetje","52.15532779999999","5.388275","amersfoort","restaurant"
"3413","Parkcafé Mees","52.25712249999999","6.1580211","deventer","restaurant"
"7166","De Deli - Plantagebuurt","52.3669772","4.9120382","amsterdam","restaurant_and_bar"
"67","Bar BAUT","52.3457423","4.8597124","amsterdam","restaurant"
"2515","Restaurant Enya","52.1413691","5.0414132","maarssen","restaurant"
"503","The Magpie","52.34950829999999","4.848912599999999","amsterdam","restaurant_and_bar"
"1108","diepnoord","51.93905960000001","4.479878800000001","rotterdam","restaurant_and_bar"
"564","Maximus Steakhouse","52.36228910000001","4.8834594","amsterdam","restaurant"
"7167","Pita Queen","52.3624939","4.927342599999999","amsterdam","restaurant"
"7092","Café Juliana","51.60136230000001","3.847285300000001","colijnsplaat","restaurant"
"789","Gollem Aan Het Water","52.3680955","4.9164407","amsterdam","restaurant_and_bar"
"400","Chris Scholten Café","52.35429329999999","4.9014622","amsterdam","restaurant"
"6247","Eetcafé 't Ken-net","52.66503069999999","5.200627899999999","venhuizen","restaurant"
"657","'t Zusje Amsterdam","52.3286371","4.877886200000001","amsterdam","restaurant_and_bar"
"7168","De Taanketel","52.459114","5.10095","marken","restaurant_and_bar"
"2840","De Stadthouder","52.158642","4.491736","leiden","restaurant_and_bar"
"985","Café Restaurant de Eendracht Blaricum","52.27565440000001","5.2254112","blaricum","restaurant_and_bar"
"5170","Café De Hamer","52.2410414","5.9563566","wenum-wiesel","restaurant"
"4293","Stads-Koffyhuis","52.010852","4.356406","delft","restaurant"
"7175","Bolletjescafé de Klok","52.7225","4.7338889","warmenhuizen","restaurant"
"1210","Jamey Bennett","52.07946279999999","4.3093188","den-haag","restaurant"
"347","Brasserie Van Dam","52.355639","4.870725000000001","amsterdam","restaurant"
"3294","Spaghetteria Adriaen van Ostadelaan","52.0830461","5.1403423","utrecht","restaurant"
"1958","Restaurant / Café De Kleine Winst","51.2830228","5.7505336","nederweert","restaurant_and_bar"
"1195","Café Carèl","52.0928652","5.1215809","utrecht","restaurant"
"1148","Gunnery's Irish Pub","52.6298217","4.750098500000001","alkmaar","restaurant_and_bar"
"917","Dara","52.1599166","5.384616600000001","amersfoort","restaurant"
"3878","Café de Jongens","52.0518091","6.311984699999999","hengelo","restaurant"
"66","BAUT Oost","52.3546072","4.912678399999999","amsterdam","restaurant"
"2800","Restaurant Alba","52.3560247","4.9118732","amsterdam","restaurant"
"595","Harlem Soul Food","52.3802959","4.891609","amsterdam","restaurant"
"4313","Badhuis Oedipus","52.36354410000001","4.9399474","amsterdam","restaurant_and_bar"
"3091","Partycafe de Doos","53.2175731","6.568075899999999","groningen","bar"
"948","Bar Bukowski","52.3579617","4.9176701","amsterdam","restaurant_and_bar"
"3648","Proeflokaal Beij Ons","51.8395147","5.8718516","nijmegen","restaurant_and_bar"
"3799","Vet Gezond","52.1452642","4.4936228","leiden","restaurant_and_bar"
"340","Café De Fluiter","52.3792717","4.8568463","amsterdam","restaurant"
"1213","De Machinist","51.90789729999999","4.4617844","rotterdam","restaurant"
"4158","Burgers Enzo/Juffrouw Coco","51.1961434","5.9852349","roermond","restaurant"
"4151","Bruijn Café","52.3005114","5.6258933","ermelo","restaurant_and_bar"
"6603","Café De Hollande","50.99794889999999","5.8713931","sittard","restaurant"
"4484","Café 'Tango'","52.011343","4.3564944","delft","bar"
"1868","Wijnbar Pinot","51.58903609999999","4.7762444","breda","restaurant_and_bar"
"271","Café De Prins","52.37615830000001","4.8839833","amsterdam","restaurant"
"3077","La Provence","53.2134942","6.565517900000001","groningen","restaurant"
"4401","Restaurant Daalder*","52.3642559","4.859056099999999","amsterdam","restaurant"
"359","Café Bax","52.365613","4.867942","amsterdam","restaurant"
"5311","Barrique","52.27487619999999","5.163065699999999","bussum","restaurant"
"1788","'t Waaltje","51.8432428","4.5698872","heerjansdam","restaurant"
"2539","Gasterij 't Hilletje","52.18493729999999","5.770988399999999","kootwijk","restaurant"
